id	idx	taskidx	option	temporal	status
489	13	5	SAT	HIGH	0
490	38	5	SAT	LOW	0
491	13	6	SAT	HIGH	0
492	38	6	SAT	LOW	0
493	13	7	HIDDEN	HIGH	0
494	38	7	HIDDEN	LOW	0
495	13	8	MIDSAT	HIGH	0
496	38	8	MIDSAT	LOW	0
497	13	9	HIDDEN	HIGH	0
498	38	9	HIDDEN	LOW	0
499	13	10	MIDSAT	HIGH	0
500	38	10	MIDSAT	LOW	0
501	13	11	UNSAT	HIGH	0
502	38	11	UNSAT	LOW	0
503	13	12	HIDDEN	HIGH	0
504	38	12	HIDDEN	LOW	0
505	13	13	MIDSAT	HIGH	0
506	38	13	MIDSAT	LOW	0
507	13	14	HIDDEN	HIGH	0
508	38	14	HIDDEN	LOW	0
509	13	15	UNSAT	HIGH	0
510	38	15	UNSAT	LOW	0
511	13	16	HIDDEN	HIGH	0
512	38	16	HIDDEN	LOW	0
513	13	17	HIDDEN	HIGH	0
514	38	17	HIDDEN	LOW	0
515	13	18	UNSAT	HIGH	0
516	38	18	UNSAT	LOW	0
517	13	19	SAT	HIGH	0
518	38	19	SAT	LOW	0
519	13	20	HIDDEN	HIGH	0
520	38	20	HIDDEN	LOW	0
521	14	1	MIDSAT	HIGH	0
522	39	1	MIDSAT	LOW	0
523	14	2	HIDDEN	HIGH	0
524	39	2	HIDDEN	LOW	0
525	14	3	UNSAT	HIGH	0
526	39	3	UNSAT	LOW	0
527	14	4	HIDDEN	HIGH	0
528	39	4	HIDDEN	LOW	0
529	14	5	HIDDEN	HIGH	0
530	39	5	HIDDEN	LOW	0
531	14	6	MIDSAT	HIGH	0
532	39	6	MIDSAT	LOW	0
533	14	7	HIDDEN	HIGH	0
534	39	7	HIDDEN	LOW	0
535	14	8	HIDDEN	HIGH	0
536	39	8	HIDDEN	LOW	0
537	14	9	SAT	HIGH	0
538	39	9	SAT	LOW	0
539	14	10	UNSAT	HIGH	0
540	39	10	UNSAT	LOW	0
541	14	11	HIDDEN	HIGH	0
542	39	11	HIDDEN	LOW	0
543	14	12	SAT	HIGH	0
544	39	12	SAT	LOW	0
545	14	13	UNSAT	HIGH	0
546	39	13	UNSAT	LOW	0
547	14	14	HIDDEN	HIGH	0
548	39	14	HIDDEN	LOW	0
549	14	15	SAT	HIGH	0
550	39	15	SAT	LOW	0
551	14	16	SAT	HIGH	0
552	39	16	SAT	LOW	0
553	14	17	MIDSAT	HIGH	0
554	39	17	MIDSAT	LOW	0
555	14	18	HIDDEN	HIGH	0
556	39	18	HIDDEN	LOW	0
557	14	19	UNSAT	HIGH	0
558	39	19	UNSAT	LOW	0
559	14	20	MIDSAT	HIGH	0
560	39	20	MIDSAT	LOW	0
561	15	1	SAT	HIGH	0
562	40	1	SAT	LOW	0
563	15	2	MIDSAT	HIGH	0
564	40	2	MIDSAT	LOW	0
565	15	3	HIDDEN	HIGH	0
566	40	3	HIDDEN	LOW	0
567	15	4	UNSAT	HIGH	0
568	40	4	UNSAT	LOW	0
569	15	5	UNSAT	HIGH	0
570	40	5	UNSAT	LOW	0
571	15	6	HIDDEN	HIGH	0
572	40	6	HIDDEN	LOW	0
573	15	7	UNSAT	HIGH	0
574	40	7	UNSAT	LOW	0
575	15	8	HIDDEN	HIGH	0
